,precision,recall,f1-score,support
0,0.7578607901101855,0.9522201587033597,0.8439955106621774,5923.0
1,0.799361884893852,0.9661821417976861,0.8748908736820898,6742.0
2,0.8866827115924589,0.7420275260154414,0.8079312865497076,5958.0
3,0.657102957978926,0.8442342195400424,0.7390062821245003,6131.0
4,0.8090283091048202,0.9049982882574461,0.8543265734830734,5842.0
5,0.9942196531791907,0.09518539014941893,0.17373737373737375,5421.0
6,0.8144284454892742,0.936633997972288,0.8712668972021377,5918.0
7,0.7877822413076604,0.9077414205905826,0.8435182438445565,6265.0
8,0.7561728395061729,0.7118441292086822,0.733339202394577,5851.0
9,0.8489614841701956,0.7076819633551857,0.7719105243857719,5949.0
accuracy,0.7859833333333334,0.7859833333333334,0.7859833333333334,0.7859833333333334
macro avg,0.8111601317332738,0.7768749235590133,0.7513922768065966,60000.0
weighted avg,0.8089291945994255,0.7859833333333334,0.7583078437402273,60000.0
