,precision,recall,f1-score,support
0,0.8613681177005915,0.9588046598007767,0.9074784276126558,5923.0
1,0.8725608935540304,0.9617324236131711,0.9149791857757709,6742.0
2,0.8642343448517804,0.8269553541456864,0.8451839780427137,5958.0
3,0.7905885913148737,0.8522263904746371,0.8202511773940346,6131.0
4,0.8457291328353361,0.891475522081479,0.8679999999999999,5842.0
5,0.9147994467496542,0.6100350488839698,0.7319610447100487,5421.0
6,0.8643122676579925,0.9428861101723556,0.9018910619039923,5918.0
7,0.8624615384615385,0.8948124501197127,0.8783392087739914,6265.0
8,0.8324498296099963,0.7514954708596822,0.7899038893380043,5851.0
9,0.8518125552608311,0.8097159186417885,0.8302309548431576,5949.0
accuracy,0.8538333333333333,0.8538333333333333,0.8538333333333333,0.8538333333333333
macro avg,0.8560316717996624,0.850013934879326,0.8488218928394368,60000.0
weighted avg,0.8556198593845084,0.8538333333333333,0.850802089743333,60000.0
