,precision,recall,f1-score,support
0,0.09871666666666666,1.0,0.17969449205891722,5923.0
1,0.0,0.0,0.0,6742.0
2,0.0,0.0,0.0,5958.0
3,0.0,0.0,0.0,6131.0
4,0.0,0.0,0.0,5842.0
5,0.0,0.0,0.0,5421.0
6,0.0,0.0,0.0,5918.0
7,0.0,0.0,0.0,6265.0
8,0.0,0.0,0.0,5851.0
9,0.0,0.0,0.0,5949.0
accuracy,0.09871666666666666,0.09871666666666666,0.09871666666666666,0.09871666666666666
macro avg,0.009871666666666666,0.1,0.017969449205891722,60000.0
weighted avg,0.009744980277777777,0.09871666666666666,0.017738841274416113,60000.0
