,precision,recall,f1-score,support
0,0.8292825768667643,0.9562721593786933,0.888261585509292,5923.0
1,0.8359475443558756,0.9644022545238802,0.8955922865013773,6742.0
2,0.8625652095700665,0.8048002685464921,0.8326821220804029,5958.0
3,0.724907063197026,0.8587506116457347,0.7861729132447364,6131.0
4,0.8435717777415676,0.8861691201643273,0.864345938726104,5842.0
5,0.9622719734660033,0.42814978786201807,0.592620962594153,5421.0
6,0.8412075471698113,0.9417032781345049,0.8886231364107471,5918.0
7,0.8325224826772815,0.9013567438148443,0.8655732679337829,6265.0
8,0.8301739300371311,0.7260297385062382,0.774617067833698,5851.0
9,0.8406113537117904,0.7766011094301564,0.8073394495412843,5949.0
accuracy,0.8302,0.8302,0.8302,0.8302
macro avg,0.8403061458793317,0.8244235072006889,0.8195828730375577,60000.0
weighted avg,0.8388025781606139,0.8302,0.8226557514563861,60000.0
